代码,名称,最新价,涨跌幅,涨跌额,成交量(股),成交额,振幅,最高,最低,今开,昨收,量比,指数
000809,细分农业,6511.45,2.43%,154.57,16.09亿,208.6亿,3.14%,6592.56,6392.93,6400.67,6356.88,1.04,上证系列指数
000108,380消费,10381.68,0.43%,44.9,3.2亿,51.15亿,1.64%,10488.47,10319.23,10368.24,10336.78,1.3,上证系列指数
000990,全指消费,13393.58,0.25%,33.83,26.28亿,441.2亿,2.24%,13638.32,13338.83,13401.36,13359.75,1.07,上证系列指数
000112,380电信,7596.86,0.24%,17.96,3.45亿,74.49亿,3.65%,7845.14,7568.52,7675.06,7578.9,1.49,上证系列指数
000833,中高企债,193.47,0.07%,0.14,25.19万,2.47亿,0.07%,193.49,193.36,193.46,193.33,1.55,上证系列指数
000013,企债指数,230.09,0.04%,0.08,9297万,8.82亿,0.02%,230.11,230.07,230.1,230.01,0.91,上证系列指数
000116,信用100,183.31,0.04%,0.07,4456万,4.37亿,0.07%,183.34,183.21,183.3,183.24,2.09,上证系列指数
000923,公司债指,196.16,0.04%,0.07,7.05万,6.89亿,0.02%,196.17,196.14,196.16,196.09,0.79,上证系列指数
000022,沪公司债,195.91,0.04%,0.07,5642万,5.51亿,0.02%,195.92,195.89,195.91,195.83,0.79,上证系列指数
000949,内地农业,5638.35,0.04%,2.24,11.91亿,155.8亿,2.26%,5742.37,5615.2,5655.27,5636.11,1.08,上证系列指数
000012,国债指数,172.04,0.03%,0.05,1428万,1.38亿,0.02%,172.05,172.02,172.04,171.99,0.6,上证系列指数
000101,5年信用,194.79,0.01%,0.03,29.65万,289.3万,0.06%,194.83,194.71,194.83,194.77,0.1,上证系列指数
000061,沪企债30,154.55,0.00%,0.01,1552万,1.54亿,0.03%,154.58,154.54,154.58,154.54,1.67,上证系列指数
000079,公用等权,2171.83,-0.08%,-1.75,10.58亿,61.8亿,1.18%,2189.74,2164.14,2174.72,2173.57,1.1,上证系列指数
000122,农业主题,1331.4,-0.15%,-1.94,9亿,111.7亿,1.82%,1350.6,1326.3,1339.61,1333.34,1.11,上证系列指数
000916,300电信,3207.81,-0.21%,-6.77,13.8亿,234.3亿,4.02%,3314.54,3185.34,3233.22,3214.57,1.38,上证系列指数
000078,电信等权,3164.89,-0.21%,-6.7,17.12亿,248.7亿,4.19%,3275.55,3142.71,3162.46,3171.59,1.33,上证系列指数
000912,300消费,18137.26,-0.27%,-48.28,3.49亿,167.7亿,2.86%,18599.74,18078.8,18257.41,18185.54,1.19,上证系列指数
000994,全指电信,6684.82,-0.29%,-19.51,36.25亿,524.5亿,3.40%,6878.05,6650.38,6723.15,6704.33,1.28,上证系列指数
000932,中证消费,14725.52,-0.30%,-44.19,12.38亿,250.2亿,2.46%,15047.43,14684.28,14803.5,14769.71,1.13,上证系列指数
000809,细分农业,6511.45,2.43%,154.57,16.09亿,208.6亿,3.14%,6592.56,6392.93,6400.67,6356.88,1.04,上证系列指数
000108,380消费,10381.68,0.43%,44.9,3.2亿,51.15亿,1.64%,10488.47,10319.23,10368.24,10336.78,1.3,上证系列指数
000990,全指消费,13393.58,0.25%,33.83,26.28亿,441.2亿,2.24%,13638.32,13338.83,13401.36,13359.75,1.07,上证系列指数
000112,380电信,7596.86,0.24%,17.96,3.45亿,74.49亿,3.65%,7845.14,7568.52,7675.06,7578.9,1.49,上证系列指数
000833,中高企债,193.47,0.07%,0.14,25.19万,2.47亿,0.07%,193.49,193.36,193.46,193.33,1.55,上证系列指数
000013,企债指数,230.09,0.04%,0.08,9297万,8.82亿,0.02%,230.11,230.07,230.1,230.01,0.91,上证系列指数
000116,信用100,183.31,0.04%,0.07,4456万,4.37亿,0.07%,183.34,183.21,183.3,183.24,2.09,上证系列指数
000923,公司债指,196.16,0.04%,0.07,7.05万,6.89亿,0.02%,196.17,196.14,196.16,196.09,0.79,上证系列指数
000022,沪公司债,195.91,0.04%,0.07,5642万,5.51亿,0.02%,195.92,195.89,195.91,195.83,0.79,上证系列指数
000949,内地农业,5638.35,0.04%,2.24,11.91亿,155.8亿,2.26%,5742.37,5615.2,5655.27,5636.11,1.08,上证系列指数
000012,国债指数,172.04,0.03%,0.05,1428万,1.38亿,0.02%,172.05,172.02,172.04,171.99,0.6,上证系列指数
000101,5年信用,194.79,0.01%,0.03,29.65万,289.3万,0.06%,194.83,194.71,194.83,194.77,0.1,上证系列指数
000061,沪企债30,154.55,0.00%,0.01,1552万,1.54亿,0.03%,154.58,154.54,154.58,154.54,1.67,上证系列指数
000079,公用等权,2171.83,-0.08%,-1.75,10.58亿,61.8亿,1.18%,2189.74,2164.14,2174.72,2173.57,1.1,上证系列指数
000122,农业主题,1331.4,-0.15%,-1.94,9亿,111.7亿,1.82%,1350.6,1326.3,1339.61,1333.34,1.11,上证系列指数
000916,300电信,3207.81,-0.21%,-6.77,13.8亿,234.3亿,4.02%,3314.54,3185.34,3233.22,3214.57,1.38,上证系列指数
000078,电信等权,3164.89,-0.21%,-6.7,17.12亿,248.7亿,4.19%,3275.55,3142.71,3162.46,3171.59,1.33,上证系列指数
000912,300消费,18137.26,-0.27%,-48.28,3.49亿,167.7亿,2.86%,18599.74,18078.8,18257.41,18185.54,1.19,上证系列指数
000994,全指电信,6684.82,-0.29%,-19.51,36.25亿,524.5亿,3.40%,6878.05,6650.38,6723.15,6704.33,1.28,上证系列指数
000932,中证消费,14725.52,-0.30%,-44.19,12.38亿,250.2亿,2.46%,15047.43,14684.28,14803.5,14769.71,1.13,上证系列指数
000936,中证电信,5530.48,-0.41%,-22.84,17.05亿,282.9亿,3.68%,5703.74,5499.17,5589.04,5553.32,1.33,上证系列指数
000113,380公用,2105.58,-0.47%,-9.98,3.1亿,17.76亿,0.94%,2119.14,2099.31,2114.19,2115.56,0.96,上证系列指数
000041,上证公用,2090.81,-0.56%,-11.88,10.58亿,61.8亿,0.99%,2108.29,2087.52,2103.82,2102.69,1.1,上证系列指数
000040,上证电信,3542.14,-0.60%,-21.5,17.12亿,248.7亿,3.60%,3655.53,3527.1,3577.41,3563.64,1.33,上证系列指数
000908,300能源,1761.19,-0.61%,-10.81,16.65亿,84.38亿,1.83%,1786.61,1754.16,1775.71,1772.0,1.62,上证系列指数
000111,380信息,5922.12,-0.61%,-36.55,5.96亿,121.6亿,2.18%,6019.62,5889.75,5963.44,5958.66,1.06,上证系列指数
000810,细分能源,2057.52,-0.74%,-15.26,38.56亿,259.2亿,1.95%,2090.3,2049.97,2080.33,2072.77,1.44,上证系列指数
000815,细分食品,16746.13,-0.77%,-129.84,5.81亿,191.7亿,2.63%,17150.02,16706.59,16895.39,16875.97,1.05,上证系列指数
000032,上证能源,1518.0,-0.77%,-11.85,30.99亿,170.5亿,1.95%,1542.72,1512.83,1534.19,1529.85,1.62,上证系列指数
000807,食品饮料,16777.66,-0.78%,-131.7,5.19亿,192.8亿,2.57%,17173.29,16738.43,16923.2,16909.36,1.07,上证系列指数
000114,持续产业,1096.43,-0.78%,-8.61,12.53亿,123.5亿,1.66%,1112.15,1093.79,1109.05,1105.04,0.92,上证系列指数
000036,上证消费,10119.95,-0.78%,-79.76,4.12亿,116.4亿,2.70%,10372.29,10096.56,10239.95,10199.71,0.91,上证系列指数
000070,能源等权,2319.33,-0.80%,-18.67,30.99亿,170.5亿,2.15%,2361.69,2311.37,2345.32,2338.0,1.62,上证系列指数
000138,380低贝,5709.39,-0.83%,-47.98,22.65亿,160.4亿,1.24%,5763.94,5692.47,5759.41,5757.36,1.04,上证系列指数
000826,民企红利,3899.03,-0.84%,-33.0,6.47亿,108.6亿,1.63%,3946.07,3882.08,3933.64,3932.03,1.12,上证系列指数
000995,全指公用,2274.76,-0.84%,-19.32,19.15亿,123.7亿,1.16%,2297.12,2270.59,2296.53,2294.08,0.95,上证系列指数
000937,中证公用,2129.76,-0.88%,-18.87,5.99亿,32.55亿,1.12%,2151.09,2127.08,2150.83,2148.63,0.85,上证系列指数
000986,全指能源,1947.61,-0.89%,-17.44,38.82亿,261.9亿,1.94%,1979.59,1941.38,1971.92,1965.05,1.45,上证系列指数
000813,细分化工,3306.83,-0.90%,-29.87,17.82亿,225.1亿,1.89%,3359.4,3296.33,3355.54,3336.7,0.87,上证系列指数
000104,380能源,1261.65,-0.91%,-11.61,9.41亿,53.33亿,2.54%,1287.1,1254.8,1273.84,1273.26,1.57,上证系列指数
000077,信息等权,4419.73,-0.95%,-42.26,7.73亿,160.1亿,2.04%,4489.77,4398.56,4470.05,4461.99,0.98,上证系列指数
000863,CS精准医,2597.03,-0.95%,-24.94,2.49亿,81.04亿,1.23%,2622.64,2590.33,2618.62,2621.97,1.09,上证系列指数
000158,上证环保,1335.69,-0.97%,-13.1,9.14亿,91亿,1.74%,1356.25,1332.73,1349.41,1348.79,0.83,上证系列指数
000119,380R成长,4210.38,-0.98%,-41.55,60.95亿,678.8亿,1.67%,4268.7,4197.6,4265.86,4251.93,1.05,上证系列指数
000074,消费等权,7144.91,-0.99%,-71.33,4.12亿,116.4亿,2.43%,7301.73,7126.08,7234.06,7216.24,0.91,上证系列指数
000827,中证环保,1408.74,-1.00%,-14.16,32.76亿,284.1亿,1.83%,1431.82,1405.73,1427.79,1422.9,1.07,上证系列指数
000852,中证1000,6192.14,-1.01%,-63.11,214.6亿,2001亿,1.65%,6274.46,6171.31,6270.37,6255.25,1.04,上证系列指数
000139,上证转债,306.57,-1.01%,-3.12,1.84亿,22.32亿,1.36%,310.6,306.4,309.94,309.69,0.73,上证系列指数
000917,300公用,1883.54,-1.03%,-19.65,3.2亿,17.92亿,1.08%,1903.59,1883.03,1903.59,1903.19,0.81,上证系列指数
000983,智能资产,9788.47,-1.05%,-103.92,36.83亿,569.5亿,1.63%,9916.6,9755.19,9910.13,9892.4,1.07,上证系列指数
000928,中证能源,2122.15,-1.06%,-22.76,28.71亿,181.1亿,2.13%,2157.25,2111.56,2146.75,2144.91,1.46,上证系列指数
000045,上证小盘,4428.58,-1.06%,-47.47,105.5亿,920.2亿,1.73%,4492.24,4414.89,4489.08,4476.06,1.06,上证系列指数
000020,中型综指,1170.41,-1.06%,-12.54,49.53亿,552.8亿,1.59%,1185.64,1166.8,1184.71,1182.95,0.94,上证系列指数
000130,380波动,10046.4,-1.07%,-108.2,26.31亿,164.3亿,1.69%,10192.36,10020.89,10180.43,10154.59,1.07,上证系列指数
000829,300低贝,5408.9,-1.07%,-58.66,58.51亿,513.8亿,1.66%,5484.31,5393.76,5480.95,5467.56,0.94,上证系列指数
000039,上证信息,3519.37,-1.08%,-38.54,7.73亿,160.1亿,2.12%,3580.46,3505.03,3567.54,3557.92,0.98,上证系列指数
000141,380动态,3649.76,-1.09%,-40.04,46.1亿,521.8亿,1.76%,3701.48,3636.4,3697.92,3689.8,1.03,上证系列指数
000115,380等权,6897.57,-1.11%,-77.4,80.74亿,818.4亿,1.71%,6994.88,6875.49,6988.99,6974.97,1.03,上证系列指数
000832,中证转债,330.64,-1.12%,-3.74,523.7万,81.54亿,1.51%,335.43,330.36,334.76,334.39,0.97,上证系列指数
000005,商业指数,3047.36,-1.13%,-34.87,18.88亿,215.2亿,2.34%,3108.53,3036.38,3103.25,3082.23,1.01,上证系列指数
000132,上证100,5733.37,-1.14%,-65.9,18.88亿,198.4亿,1.79%,5822.44,5718.77,5818.21,5799.27,0.94,上证系列指数
000091,沪财中小,8960.45,-1.16%,-105.48,49.33亿,546.7亿,1.69%,9085.12,8932.23,9079.35,9065.93,1.12,上证系列指数
000117,380成长,5376.01,-1.16%,-63.01,24.89亿,264.2亿,1.77%,5458.78,5362.57,5454.67,5439.02,1.08,上证系列指数
000009,上证380,5228.52,-1.16%,-61.4,80.74亿,818.4亿,1.78%,5307.2,5213.25,5303.77,5289.93,1.03,上证系列指数
000106,380工业,5008.84,-1.17%,-59.42,16.91亿,155.2亿,2.05%,5098.41,4994.35,5093.58,5068.26,0.89,上证系列指数
000003,B股指数,316.2,-1.17%,-3.76,3467万,2.37亿,1.29%,320.23,316.11,319.92,319.96,1.26,上证系列指数
000858,500信息,6784.58,-1.17%,-79.97,20.68亿,263.5亿,2.04%,6902.39,6762.5,6869.92,6864.56,0.95,上证系列指数
000162,沪互联+,2770.53,-1.19%,-33.23,19.43亿,368.1亿,1.87%,2814.9,2762.33,2812.14,2803.76,1.01,上证系列指数
000011,基金指数,6384.19,-1.19%,-76.69,63.84亿,346亿,1.58%,6474.58,6372.4,6474.19,6460.88,0.95,上证系列指数
000136,180低贝,9550.22,-1.20%,-115.8,40.55亿,383亿,1.77%,9696.98,9526.35,9693.19,9666.02,0.92,上证系列指数
000998,中证TMT,1922.97,-1.21%,-23.54,61.8亿,788.2亿,2.07%,1957.35,1917.04,1952.27,1946.52,1.09,上证系列指数
000133,上证150,4549.34,-1.23%,-56.57,16.18亿,164.7亿,1.83%,4621.81,4537.32,4617.23,4605.91,0.95,上证系列指数
000004,工业指数,2541.06,-1.23%,-31.64,204.2亿,2191亿,1.73%,2578.74,2534.11,2578.14,2572.7,1.03,上证系列指数
000142,380稳定,6878.83,-1.23%,-85.76,34.64亿,296.6亿,1.79%,6987.98,6863.24,6985.51,6964.59,1.02,上证系列指数
000856,500工业,4780.16,-1.25%,-60.31,33.8亿,280.5亿,2.09%,4865.69,4764.29,4861.21,4840.47,1.03,上证系列指数
000847,腾讯济安,2339.39,-1.26%,-29.78,35.66亿,494.5亿,1.87%,2377.83,2333.5,2375.98,2369.17,1.11,上证系列指数
000131,上证高新,1901.6,-1.26%,-24.3,13.43亿,194.8亿,2.18%,1932.91,1891.0,1930.77,1925.9,1.43,上证系列指数
000979,大宗商品,4291.7,-1.27%,-55.04,60.68亿,501.9亿,1.75%,4354.62,4278.43,4342.75,4346.74,1.11,上证系列指数
000094,上证上游,2128.44,-1.27%,-27.44,35.33亿,274.4亿,1.62%,2157.26,2122.25,2156.54,2155.88,1.32,上证系列指数
000007,公用指数,5738.71,-1.29%,-74.96,33.9亿,255.4亿,1.90%,5835.5,5724.95,5832.69,5813.68,1.09,上证系列指数
000802,500沪市,5939.89,-1.33%,-79.87,75.53亿,649亿,1.92%,6034.88,5919.43,6030.06,6019.76,1.08,上证系列指数
000991,全指医药,9808.7,-1.33%,-131.78,34.94亿,485.9亿,1.77%,9960.64,9784.33,9952.03,9940.48,0.99,上证系列指数
000804,500波动,12052.73,-1.33%,-162.11,36.72亿,241.7亿,1.78%,12227.33,12009.38,12222.75,12214.84,1.04,上证系列指数
000147,优势消费,6877.27,-1.34%,-93.63,9.36亿,211.3亿,2.16%,7013.16,6862.48,6987.37,6970.9,1.01,上证系列指数
000120,380R价值,6488.66,-1.34%,-87.88,66.02亿,647亿,1.88%,6593.73,6469.8,6589.59,6576.54,1.0,上证系列指数
000913,300医药,10217.35,-1.35%,-139.64,4.9亿,134.3亿,1.55%,10354.25,10193.63,10348.63,10356.99,1.1,上证系列指数
000977,内地低碳,1172.95,-1.35%,-16.01,16.78亿,191.4亿,1.87%,1192.9,1170.63,1192.41,1188.95,0.87,上证系列指数
000170,50AH优选,5546.81,-1.36%,-76.73,24.1亿,420.5亿,1.82%,5638.56,5536.39,5627.89,5623.53,0.74,上证系列指数
000025,180基建,1893.39,-1.37%,-26.39,21.03亿,161.5亿,2.17%,1932.36,1890.75,1930.0,1919.78,1.21,上证系列指数
