代码,名称,最新价,涨跌幅,涨跌额,成交量(股),成交额,振幅,最高,最低,今开,昨收,量比,指数
399231,农林指数,1688.98,2.52%,41.48,7.71亿,96.64亿,3.14%,1707.23,1655.5,1655.5,1647.5,0.95,指数成份
000809,细分农业,6511.45,2.43%,154.57,16.09亿,208.6亿,3.14%,6592.56,6392.93,6400.67,6356.88,1.04,指数成份
399238,餐饮指数,1327.55,1.67%,21.87,6520万,4.3亿,2.38%,1329.26,1298.13,1310.77,1305.68,1.35,指数成份
399684,深成消费,2190.43,0.92%,20.01,10.76亿,197.4亿,2.24%,2223.45,2174.76,2175.05,2170.42,1.19,指数成份
399669,深证农业,9090.65,0.78%,70.09,16.51亿,249.8亿,2.02%,9222.27,9040.41,9043.5,9020.56,1.05,指数成份
399617,深证消费,10882.06,0.57%,61.57,5.98亿,161.8亿,2.22%,11072.4,10832.33,10844.21,10820.49,1.22,指数成份
000108,380消费,10381.68,0.43%,44.9,3.2亿,51.15亿,1.64%,10488.47,10319.23,10368.24,10336.78,1.3,指数成份
399814,大农业,1269.31,0.36%,4.61,16.51亿,209.8亿,1.98%,1287.27,1262.24,1269.73,1264.7,1.08,指数成份
399639,深证大宗,2386.15,0.33%,7.94,17.7亿,169.3亿,1.76%,2414.58,2372.63,2390.68,2378.21,0.91,指数成份
000990,全指消费,13393.58,0.25%,33.83,26.28亿,441.2亿,2.24%,13638.32,13338.83,13401.36,13359.75,1.07,指数成份
000112,380电信,7596.86,0.24%,17.96,3.45亿,74.49亿,3.65%,7845.14,7568.52,7675.06,7578.9,1.49,指数成份
000013,企债指数,230.09,0.04%,0.08,9297万,8.82亿,0.02%,230.11,230.07,230.1,230.01,0.91,指数成份
000949,内地农业,5638.35,0.04%,2.24,11.91亿,155.8亿,2.26%,5742.37,5615.2,5655.27,5636.11,1.08,指数成份
000012,国债指数,172.04,0.03%,0.05,1428万,1.38亿,0.02%,172.05,172.02,172.04,171.99,0.6,指数成份
000061,沪企债30,154.55,0.00%,0.01,1552万,1.54亿,0.03%,154.58,154.54,154.58,154.54,1.67,指数成份
000122,农业主题,1331.4,-0.15%,-1.94,9亿,111.7亿,1.82%,1350.6,1326.3,1339.61,1333.34,1.11,指数成份
399671,深防御50,7239.4,-0.17%,-12.1,19.45亿,385.5亿,2.20%,7368.38,7209.06,7259.17,7251.5,1.25,指数成份
000916,300电信,3207.81,-0.21%,-6.77,13.8亿,234.3亿,4.02%,3314.54,3185.34,3233.22,3214.57,1.38,指数成份
000912,300消费,18137.26,-0.27%,-48.28,3.49亿,167.7亿,2.86%,18599.74,18078.8,18257.41,18185.54,1.19,指数成份
399989,中证医疗,7913.17,-0.27%,-21.11,3.62亿,62.09亿,0.97%,7967.4,7890.4,7945.58,7934.28,0.99,指数成份
399231,农林指数,1688.98,2.52%,41.48,7.71亿,96.64亿,3.14%,1707.23,1655.5,1655.5,1647.5,0.95,指数成份
000809,细分农业,6511.45,2.43%,154.57,16.09亿,208.6亿,3.14%,6592.56,6392.93,6400.67,6356.88,1.04,指数成份
399238,餐饮指数,1327.55,1.67%,21.87,6520万,4.3亿,2.38%,1329.26,1298.13,1310.77,1305.68,1.35,指数成份
399684,深成消费,2190.43,0.92%,20.01,10.76亿,197.4亿,2.24%,2223.45,2174.76,2175.05,2170.42,1.19,指数成份
399669,深证农业,9090.65,0.78%,70.09,16.51亿,249.8亿,2.02%,9222.27,9040.41,9043.5,9020.56,1.05,指数成份
399617,深证消费,10882.06,0.57%,61.57,5.98亿,161.8亿,2.22%,11072.4,10832.33,10844.21,10820.49,1.22,指数成份
000108,380消费,10381.68,0.43%,44.9,3.2亿,51.15亿,1.64%,10488.47,10319.23,10368.24,10336.78,1.3,指数成份
399814,大农业,1269.31,0.36%,4.61,16.51亿,209.8亿,1.98%,1287.27,1262.24,1269.73,1264.7,1.08,指数成份
399639,深证大宗,2386.15,0.33%,7.94,17.7亿,169.3亿,1.76%,2414.58,2372.63,2390.68,2378.21,0.91,指数成份
000990,全指消费,13393.58,0.25%,33.83,26.28亿,441.2亿,2.24%,13638.32,13338.83,13401.36,13359.75,1.07,指数成份
000112,380电信,7596.86,0.24%,17.96,3.45亿,74.49亿,3.65%,7845.14,7568.52,7675.06,7578.9,1.49,指数成份
000013,企债指数,230.09,0.04%,0.08,9297万,8.82亿,0.02%,230.11,230.07,230.1,230.01,0.91,指数成份
000949,内地农业,5638.35,0.04%,2.24,11.91亿,155.8亿,2.26%,5742.37,5615.2,5655.27,5636.11,1.08,指数成份
000012,国债指数,172.04,0.03%,0.05,1428万,1.38亿,0.02%,172.05,172.02,172.04,171.99,0.6,指数成份
000061,沪企债30,154.55,0.00%,0.01,1552万,1.54亿,0.03%,154.58,154.54,154.58,154.54,1.67,指数成份
000122,农业主题,1331.4,-0.15%,-1.94,9亿,111.7亿,1.82%,1350.6,1326.3,1339.61,1333.34,1.11,指数成份
399671,深防御50,7239.4,-0.17%,-12.1,19.45亿,385.5亿,2.20%,7368.38,7209.06,7259.17,7251.5,1.25,指数成份
000916,300电信,3207.81,-0.21%,-6.77,13.8亿,234.3亿,4.02%,3314.54,3185.34,3233.22,3214.57,1.38,指数成份
000912,300消费,18137.26,-0.27%,-48.28,3.49亿,167.7亿,2.86%,18599.74,18078.8,18257.41,18185.54,1.19,指数成份
399989,中证医疗,7913.17,-0.27%,-21.11,3.62亿,62.09亿,0.97%,7967.4,7890.4,7945.58,7934.28,0.99,指数成份
000994,全指电信,6684.82,-0.29%,-19.51,36.25亿,524.5亿,3.40%,6878.05,6650.38,6723.15,6704.33,1.28,指数成份
399932,中证消费,14725.52,-0.30%,-44.19,12.38亿,250.2亿,2.46%,15047.43,14684.28,14803.5,14769.71,1.13,指数成份
000932,中证消费,14725.52,-0.30%,-44.19,12.38亿,250.2亿,2.46%,15047.43,14684.28,14803.5,14769.71,1.13,指数成份
000936,中证电信,5530.48,-0.41%,-22.84,17.05亿,282.9亿,3.68%,5703.74,5499.17,5589.04,5553.32,1.33,指数成份
399688,深成电信,1777.15,-0.44%,-7.93,5.5亿,145亿,3.83%,1832.87,1764.51,1788.55,1785.08,1.07,指数成份
000113,380公用,2105.58,-0.47%,-9.98,3.1亿,17.76亿,0.94%,2119.14,2099.31,2114.19,2115.56,0.96,指数成份
399244,公共指数,1011.66,-0.51%,-5.22,6.58亿,54.77亿,1.59%,1024.65,1008.52,1019.58,1016.88,1.17,指数成份
399613,深证能源,3545.34,-0.53%,-18.81,8.68亿,95.47亿,2.58%,3609.59,3517.52,3580.2,3564.15,1.13,指数成份
000041,上证公用,2090.81,-0.56%,-11.88,10.58亿,61.8亿,0.99%,2108.29,2087.52,2103.82,2102.69,1.1,指数成份
