name,areaCode
阿拉善盟,152900
鞍山,210300
安庆,340800
安阳,410500
阿坝,513200
安顺,520400
安康,610900
阿勒泰,654300
阿克苏,652901
安吉,330523
安丘,370784
安岳,512021
安平,131125
安宁,530181
安溪,350524
安化,430923
阿勒泰市,654301
安福,360829
北京,110000
保定,130600
蚌埠,340300
包头,150200
本溪,210500
巴彦淖尔,150800
白城,220800
白山,220600
亳州,341600
滨州,371600
巴中,511900
北海,450500
百色,451000
毕节,520500
保山,530500
宝鸡,610300
白银,620402
巴州,511902
博尔塔拉,652700
滨海,120116
宝应,321023
北流,450981
博爱,410822
北碚,500109
宝丰,410421
泌阳,411726
博兴,371625
博山,370304
璧山,500120
彬县,610427
宾阳,450126
博白县,450923
博罗县,441322
北镇市,210782
泊头市,130981
北安市,231181
巴彦县,230126
重庆,500000
成都,510100
长沙,430100
常州,320400
长春,220100
沧州,130900
承德,130800
赤峰,150400
长治,140400
朝阳,220104
池州,341700
巢湖,340181
滁州,341100
潮州,445100
郴州,431000
常德,430700
崇左,451400
楚雄,532300
昌吉,652300
从化,440117
常熟,320581
长乐,350182
长兴,330522
慈溪,330282
昌邑,220202
长葛,411082
苍南,330327
承德县,130821
赤壁,421281
崇州,510184
淳安,330127
曹妃甸,130209
昌乐,370725
磁县,130427
昌黎,130322
岑溪,450481
成安,130424
长垣,410728
曹县,371721
城阳,370214
茌平,371523
长汀,350821
城固,610722
赤水,520381
常山,330822
长寿,500115
潮安,445103
潮阳,440513
澄海,440515
长丰县,340121
茶陵,430224
常宁市,430482
苍溪县,510824
慈利,430821
长清区,370113
崇明区,210504
成武县,371723
澄江县,530422
大连,210200
东莞,441900
大庆,230600
大同,140200
丹东,210600
大兴安岭,232700
东营,370500
德州,371400
德阳,510600
达州,511700
德宏,533100
大理,532901
迪庆,533400
定西,621100
敦煌,620982
丹阳,321181
东台,320981
大丰,320904
德清,330521
东阳,330783
当阳,420582
登封,410185
儋州,469003
东港,210681
东兴,450681
都江堰,510181
大石桥,210882
大冶,420281
东方,469007
大通,340402
灯塔,211081
调兵山,211281
邓州,411381
电白,440904
东平,370923
定州,139001
东海,320722
达拉特旗,150621
郸城,411625
大荔,610523
大洼,211121
大竹,511724
东光,130923
敦化,222403
大邑,510129
砀山,341321
道县,431124
大安市,220882
定安县,469021
东明县,371728
定陶区,310114
定边县,610825
鄂尔多斯,150600
鄂州,420700
恩施,422801
峨眉山,511181
额尔古纳,150784
恩平,440785
额敏县,654221
福州,350100
佛山,440600
抚顺,210400
阜新,210900
阜阳,341200
抚州,361000
防城港,450600
涪陵,500102
富阳,330111
福清,350181
凤凰,433123
肥城,370983
阜宁,320923
奉化,330283
汾阳,141182
阜康,652302
凤城,210682
范县,410926
丰城,360981
封丘,410727
肥乡,130428
繁昌,340222
富顺,510322
抚松,220621
丰县,320321
扶风,610324
扶沟,411621
丰宁,130826
佛冈,441821
费县,371325
凤台,340421
肥西县,340123
奉新,360921
方城,411322
富源县,530325
分宜,360521
扶绥县,451421
凤翔县,610322
福安,350981
福鼎市,350982
府谷县,610822
广州,440100
桂林,450300
贵阳,520100
赣州,360700
广元,510800
广安,511602
贵港,450800
甘孜,513300
甘南,230225
固原,640400
巩义,410181
桂平,450881
高邮,321084
广饶,370523
高州,440981
个旧,532501
高碑店,130684
盖州,210881
公主岭,220381
高密,370785
广汉,510681
藁城,130109
高平,140581
格尔木,632801
古交,140181
灌云,320723
灌南,320724
赣榆,320707
共青城,360482
高安,360983
广德,341822
高陵,610117
高阳,130628
公安,421022
固始县,411525
光泽,350723
杭州,330100
合肥,340100
葫芦岛,211400
海口,460100
哈尔滨,230100
邯郸,130400
呼和浩特,150100
衡水,131100
呼伦贝尔,150700
鹤岗,230400
湖州,330500
黑河,231100
淮安,320803
黄山,341000
淮南,340400
淮北,340600
鹤壁,410600
菏泽,371700
黄石,420200
怀化,431200
惠州,441300
河源,441600
黄冈,421100
衡阳,430400
贺州,451100
河池,451200
红河,532500
海东,630200
海西,632800
海南州,460000
汉中,610700
花都,440114
哈密,652201
海宁,330481
惠阳,441303
惠东,441323
黄岛,370211
鹤山,410602
桦甸,220282
海城,210381
华阴,610582
霸州,131081
海阳,370687
海门,320684
海安,320621
侯马,141081
河津,140882
海林,231083
化州,440982
黄骅,130983
霍州,141082
淮阳,411626
合川,500117
海盐,330424
滑县,410526
惠安,350521
怀仁,140624
辉县,410782
户县,610125
和县,340523
含山,340522
汉阴,610921
河口,210204
辉南,220523
洪洞,141024
横店,322118
华亭,620824
韩城,610581
洪湖,421083
怀宁,340822
珲春,222404
霍邱,341522
海沧,350205
潢川县,411526
衡阳县,430421
衡山县,430423
衡东县,430424
贺兰县,640122
海伦市,231283
汉南区,420113
合江县,510522
怀远县,340321
会泽县,530326
河间市,130984
合浦县,450521
环县,621022
黄陵县,610632
华容,420703
锦州,210700
济南,370100
焦作,410800
九江,360400
晋城,140500
晋中,140700
鸡西,230300
佳木斯,230800
吉林,220000
嘉兴,330400
金华,330700
吉安,360800
景德镇,360200
济宁,370800
荆门,420800
济源,419001
江门,440700
荆州,421000
揭阳,445200
酒泉,620900
金昌,620300
嘉峪关,620200
江阴,320281
靖江,321282
晋江,350582
金坛,320413
江山,330881
嘉善,330421
晋州,130183
句容,321183
建湖,320925
介休,140781
胶州,370281
建德,330182
简阳,512081
集安,220582
即墨,370282
建阳,350703
蛟河,220281
监利,421023
郏县,410425
巨野,371724
江津,500116
金湖,320831
江都,321012
莒南,371327
江油,510781
京山,420821
缙云,331122
金乡,370828
嘉祥,370829
金沙,520523
泾县,341823
集美,350211
鄄城县,371726
靖边,610824
江川县,530421
江华瑶族自治县,431129
吉安县,360821
吉水县,360822
晋宁县,530122
江永,431125
建水县,532524
嘉鱼县,421221
祁县,140727
精河县,652722
靖西县,130227
昆明,530100
开封,410200
昆山,320583
喀什地区,653100
克拉玛依,650200
开平,130205
库尔勒,652801
奎屯,654003
开州区,320612
垦利,370521
宽城,130827
开阳,520121
开化,330824
廊坊,131000
临汾,141000
吕梁,141100
辽阳,211000
辽源,220400
连云港,320700
六安,341500
丽水,331100
龙岩,350800
洛阳,410300
聊城,371500
临沂,371300
莱芜,371200
漯河,411100
娄底,431300
泸州,510500
乐山,511100
柳州,450200
来宾,451300
临沧,530900
拉萨,540100
六盘水,520200
凉山,513400
丽江,530700
临夏,622900
陇南,621200
兰州,620100
兰溪,330781
临海,331082
溧阳,320481
耒阳,430481
龙口,370681
陆丰,441581
莱阳,370682
乐昌,440281
莱州,370683
临安,330185
临清,371581
乐陵,371481
龙海,350681
醴陵,430281
浏阳,430181
莱西,370285
廉江,440881
阆中,511381
乐平,360281
灵宝,411282
冷水江,431381
连州,441882
灵山,450721
滦南,130224
临江,220681
陵水,469028
鹿泉,130110
利川,422802
凌海,210781
老河口,420682
滦县,130223
乐亭,130225
临朐,370724
栾城,130111
连江,350122
隆昌,511028
林州,410581
临潼,610115
蓝田,610122
临漳,130423
灵石,140729
鲁山,410423
临猗,140821
柳河,220524
鹿邑,411628
临沭,371329
